Title,Price,product_rating,product_reviews,Date/Time
N/A,N/A,N/A,[],2023-05-16 11:03:37
N/A,N/A,N/A,[],2023-05-16 11:03:38
N/A,N/A,N/A,[],2023-05-16 11:03:39
N/A,N/A,N/A,[],2023-05-16 11:03:40
N/A,N/A,N/A,[],2023-05-16 11:03:42
N/A,N/A,N/A,[],2023-05-16 11:03:43
N/A,N/A,N/A,[],2023-05-16 11:03:44
N/A,N/A,N/A,[],2023-05-16 11:03:45
N/A,N/A,N/A,[],2023-05-16 11:03:47
N/A,N/A,N/A,[],2023-05-16 11:03:48
N/A,N/A,N/A,[],2023-05-16 11:03:50
N/A,N/A,N/A,[],2023-05-16 11:03:52
N/A,N/A,N/A,[],2023-05-16 11:03:53
"GOVO GOBASS 910 in Ear Wired Earphones with HD Microphone for Calls, 9mm Driver, Noise Cancellation, 3.5mm Jack (Gun Metal Grey)",N/A,314 ratings,['3.8  3.8 out of 5 stars'],2023-05-16 11:03:56
N/A,N/A,N/A,[],2023-05-16 11:03:58
N/A,N/A,N/A,[],2023-05-16 11:03:59
N/A,N/A,N/A,[],2023-05-16 11:04:00
N/A,N/A,N/A,[],2023-05-16 11:04:01
N/A,N/A,N/A,[],2023-05-16 11:04:03
N/A,N/A,N/A,[],2023-05-16 11:04:05
N/A,N/A,N/A,[],2023-05-16 11:04:06
N/A,N/A,N/A,[],2023-05-16 11:04:07
N/A,N/A,N/A,[],2023-05-16 11:04:08
N/A,N/A,N/A,[],2023-05-16 11:04:09
N/A,N/A,N/A,[],2023-05-16 11:04:10
N/A,N/A,N/A,[],2023-05-16 11:04:11
N/A,N/A,N/A,[],2023-05-16 11:04:14
N/A,N/A,N/A,[],2023-05-16 11:04:15
N/A,N/A,N/A,[],2023-05-16 11:04:16
N/A,N/A,N/A,[],2023-05-16 11:04:17
N/A,N/A,N/A,[],2023-05-16 11:04:19
N/A,N/A,N/A,[],2023-05-16 11:04:20
N/A,N/A,N/A,[],2023-05-16 11:04:21
N/A,N/A,N/A,[],2023-05-16 11:04:22
N/A,N/A,N/A,[],2023-05-16 11:04:24
N/A,N/A,N/A,[],2023-05-16 11:04:25
N/A,N/A,N/A,[],2023-05-16 11:04:26
N/A,N/A,N/A,[],2023-05-16 11:04:27
N/A,N/A,N/A,[],2023-05-16 11:04:28
N/A,N/A,N/A,[],2023-05-16 11:04:29
N/A,N/A,N/A,[],2023-05-16 11:04:31
N/A,N/A,N/A,[],2023-05-16 11:04:33
N/A,N/A,N/A,[],2023-05-16 11:04:34
"GOVO GOBASS 400 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹299,4,"['497 Ratings &', '90 Reviews']",2023-05-16 11:02:59
"GOVO GOBASS 410 in Ear Earphones with Mic, 3D Bass with XL Drivers & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹449,3.6,"['224 Ratings &', '49 Reviews']",2023-05-16 11:03:00
N/A,N/A,N/A,[],2023-05-16 11:03:00
"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (Blue, In the Ear)",N/A,N/A,[],2023-05-16 11:03:01
"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (White, In the Ear)",N/A,N/A,[],2023-05-16 11:03:02
"GOVO GOBASS 610 in-Ear Earphones with 12mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹349,4,"['586 Ratings &', '91 Reviews']",2023-05-16 11:03:03
"GOVO GOBASS 900 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹549,3.3,"['129 Ratings &', '31 Reviews']",2023-05-16 11:03:05
"GOVO GOBASS 910 Wired Metal Earphones with 9mm Drivers,Tangle Free cable & 3.5mm Jack Wired Headset  (Gun Metal Gray, In the Ear)",₹299,3.8,"['311 Ratings &', '66 Reviews']",2023-05-16 11:03:07
"GOVO GOBOLD 400 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-16 11:03:08
"GOVO GOBOLD 410 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-16 11:03:09
"GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-16 11:03:10
"GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-16 11:03:11
"GOVO GOBUDS 400 True Wireless in Ear Earbuds, ENC, 25H Playtime, Fast Charge,Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,199",3.6,"['271 Ratings &', '89 Reviews']",2023-05-16 11:03:12
"GOVO GOBUDS 410 True Wireless in Ear Earbuds, 20 Hours Battery,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,599",3.7,"['420 Ratings &', '83 Reviews']",2023-05-16 11:03:14
"GOVO GOBUDS 600 True Wireless Earbuds,ENC,40H Playtime,Fast Charge,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,499",3.9,"['399 Ratings &', '75 Reviews']",2023-05-16 11:03:15
"GOVO GOBUDS 621 True Wireless in Ear Earbuds, 20 Hours Battery, Fast Charge & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,999",3.6,"['299 Ratings &', '92 Reviews']",2023-05-16 11:03:16
"GOVO GOBUDS 901 Bluetooth Headset  (Platinum Black, True Wireless)",N/A,N/A,[],2023-05-16 11:03:17
"GOVO GOBUDS 920 True Wireless Earbuds, 30H Battery, Fast Charge ,IPX5 & Dual pairing Bluetooth Headset  (Platinum Black, True Wireless)","₹2,699",4,"['180 Ratings &', '37 Reviews']",2023-05-16 11:03:17
"GOVO GOCRUSH 410 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 4 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,299",4.2,"['232 Ratings &', '43 Reviews']",2023-05-16 11:03:19
"GOVO GOCRUSH 421 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 5 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,210",3.7,"['272 Ratings &', '47 Reviews']",2023-05-16 11:03:20
"GOVO GOCRUSH 900 - Bluetooth Speaker, 3600mAh - 25H Battery, IPX7, ABS Fabric 16 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹2,999",4.1,"['252 Ratings &', '78 Reviews']",2023-05-16 11:03:20
"GOVO GOKIXX 400 Bluetooth Neckband, 9H Battery, 10mm Drivers, Magnetic buds, Type C Bluetooth Headset  (Platinum Black, In the Ear)","₹1,204",3.5,"['130 Ratings &', '29 Reviews']",2023-05-16 11:03:21
"GOVO GOKIXX 410 Bluetooth Neckband, 8H battery, 10mm Drivers, IPX5, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,290",3.9,"['127 Ratings &', '26 Reviews']",2023-05-16 11:03:22
"GOVO GOKIXX 421 Bluetooth Neckband, 10H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,299",3.9,"['140 Ratings &', '36 Reviews']",2023-05-16 11:03:23
"GOVO GOKIXX 610 Bluetooth Neckband, 12H Battery, Magnetic Buds,
 Lightweight Design Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.6,"['95 Ratings &', '28 Reviews']",2023-05-16 11:03:24
"GOVO GOKIXX 620 Bluetooth Neckband, 20H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,543",3.9,"['128 Ratings &', '33 Reviews']",2023-05-16 11:03:25
"GOVO GOKIXX 621 Bluetooth Neckband|22H Battery-Fast Charge,ENC & Smart Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",4.4,"['72 Ratings &', '41 Reviews']",2023-05-16 11:03:26
"GOVO GOKIXX 630 Bluetooth Neckband,10H Battery-Fast Charge,Dual Pairing,Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.8,"['133 Ratings &', '39 Reviews']",2023-05-16 11:03:27
"GOVO GOKIXX 651 Bluetooth Neckband, 12H Battery-Fast Charge, Metal Magnetic Buds Bluetooth Headset  (Graphite Gray, In the Ear)","₹1,599",3.9,"['208 Ratings &', '59 Reviews']",2023-05-16 11:03:28
"GOVO GOKIXX 900 Bluetooth Neckband,12H Battery,12mm Drivers, Premium Gun Metal Finish Bluetooth Headset  (Platinum Black, In the Ear)","₹1,598",3.7,"['107 Ratings &', '27 Reviews']",2023-05-16 11:03:29
"GOVO GOKIXX 952 Bluetooth Neckband, 106H Battery-Fast Charge, ENC, 10mm Drivers Bluetooth Headset  (Gun Metal Grey, In the Ear)","₹1,390",4.5,"['99 Ratings &', '39 Reviews']",2023-05-16 11:03:30
"GOVO GOSURROUND 410 Max 2.0 Channel Soundbar with HDMI|AUX|USB|OPT & LED Display 40 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,499",4.3,"['222 Ratings &', '68 Reviews']",2023-05-16 11:03:31
"GOVO GOSURROUND 430 | 80 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,999",4.3,"['222 Ratings &', '68 Reviews']",2023-05-16 11:03:32
"GOVO GOSURROUND 610 | 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹4,999",4.3,"['222 Ratings &', '68 Reviews']",2023-05-16 11:03:33
"GOVO GOSURROUND 620 Max 2.1 Channel Soundbar, 5.25"" Subwoofer & LED Display 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹16,999",4.7,[],2023-05-16 11:03:35
"GOVO GOSURROUND 900 | 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹6,599",4.3,"['222 Ratings &', '68 Reviews']",2023-05-16 11:03:36
"GOVO GOSURROUND 920 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹7,599",4.4,"['89 Ratings &', '28 Reviews']",2023-05-16 11:03:37
GoBass 400,₹299,2023-05-16 11:04:35,,
GoBass 410,₹259,2023-05-16 11:04:35,,
GoBass 411,₹349,2023-05-16 11:04:36,,
GoBass 411,₹349,2023-05-16 11:04:37,,
GoBass 411,₹349,2023-05-16 11:04:38,,
GoBass 610,₹399,2023-05-16 11:04:39,,
GoBass 900,₹549,2023-05-16 11:04:40,,
GoBass 910,₹399,2023-05-16 11:04:40,,
GoBold 400,"₹1,199",2023-05-16 11:04:41,,
GoBold 410,"₹1,099",2023-05-16 11:04:42,,
GoBold 600,"₹1,299",2023-05-16 11:04:43,,
GoBold 610,"₹1,399",2023-05-16 11:04:44,,
N/A,N/A,2023-05-16 11:04:44,,
GoBuds 410,"₹1,099",2023-05-16 11:04:45,,
GoBuds 600,"₹1,299",2023-05-16 11:04:46,,
GoBuds 621,"₹1,699",2023-05-16 11:04:47,,
N/A,N/A,2023-05-16 11:04:47,,
GoBuds 901,"₹1,599",2023-05-16 11:04:48,,
N/A,N/A,2023-05-16 11:04:48,,
N/A,N/A,2023-05-16 11:04:49,,
GoCrush 410,₹999,2023-05-16 11:04:49,,
GoCrush 421,₹999,2023-05-16 11:04:50,,
GoCrush 900,"₹2,499",2023-05-16 11:04:51,,
GoKixx 400,₹699,2023-05-16 11:04:52,,
GoKixx 410,₹699,2023-05-16 11:04:53,,
GoKixx 421,₹749,2023-05-16 11:04:54,,
GoKixx 610,₹799,2023-05-16 11:04:54,,
GoKixx 620,₹899,2023-05-16 11:04:55,,
GoKixx 621,₹999,2023-05-16 11:04:57,,
GoKixx 630,₹899,2023-05-16 11:04:57,,
GoKixx 651,"₹1,199",2023-05-16 11:04:58,,
GOKIXX 652,"₹1,199",2023-05-16 11:04:59,,
GoKixx 900,₹999,2023-05-16 11:05:00,,
GoKixx 952,"₹1,399",2023-05-16 11:05:00,,
N/A,N/A,2023-05-16 11:05:01,,
N/A,N/A,2023-05-16 11:05:02,,
N/A,N/A,2023-05-16 11:05:02,,
N/A,N/A,2023-05-16 11:05:03,,
N/A,N/A,2023-05-16 11:05:03,,
N/A,N/A,2023-05-16 11:05:04,,
N/A,N/A,2023-05-16 11:05:04,,
GoKixx 621,₹999,2023-05-16 11:05:05,,
GoKixx 621,₹999,2023-05-16 11:05:06,,
