Title,Price,Ratings,Reviews,Date,Time
"GOVO GOBASS 400 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹299,4,"['490 Ratings &', '90 Reviews']",2023-05-12,15:36:19
"GOVO GOBASS 410 in Ear Earphones with Mic, 3D Bass with XL Drivers & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹449,3.6,"['224 Ratings &', '49 Reviews']",2023-05-12,15:36:20
N/A,N/A,N/A,[],2023-05-12,15:36:20
"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (Blue, In the Ear)",N/A,N/A,[],2023-05-12,15:36:22
"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (White, In the Ear)",N/A,N/A,[],2023-05-12,15:36:23
"GOVO GOBASS 610 in-Ear Earphones with 12mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹349,4,"['580 Ratings &', '91 Reviews']",2023-05-12,15:36:24
"GOVO GOBASS 900 in-Ear Earphones with 10mm Drivers, Tangle Free cable & 3.5mm Jack Wired Headset  (Platinum Black, In the Ear)",₹549,3.3,"['129 Ratings &', '31 Reviews']",2023-05-12,15:36:25
"GOVO GOBASS 910 Wired Metal Earphones with 9mm Drivers,Tangle Free cable & 3.5mm Jack Wired Headset  (Gun Metal Gray, In the Ear)",₹299,3.8,"['309 Ratings &', '66 Reviews']",2023-05-12,15:36:27
"GOVO GOBOLD 400 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-12,15:36:28
"GOVO GOBOLD 410 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-12,15:36:29
"GOVO GOBOLD 600 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-12,15:36:30
"GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-12,15:36:30
"GOVO GOBUDS 400 True Wireless in Ear Earbuds, ENC, 25H Playtime, Fast Charge,Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,189",3.6,"['270 Ratings &', '89 Reviews']",2023-05-12,15:36:31
"GOVO GOBUDS 410 True Wireless in Ear Earbuds, 20 Hours Battery,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,599",3.7,"['420 Ratings &', '83 Reviews']",2023-05-12,15:36:33
"GOVO GOBUDS 600 True Wireless Earbuds,ENC,40H Playtime,Fast Charge,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,499",3.9,"['399 Ratings &', '75 Reviews']",2023-05-12,15:36:34
"GOVO GOBUDS 621 True Wireless in Ear Earbuds, 20 Hours Battery, Fast Charge & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,999",3.6,"['299 Ratings &', '92 Reviews']",2023-05-12,15:36:35
"GOVO GOBUDS 901 Bluetooth Headset  (Platinum Black, True Wireless)",N/A,N/A,[],2023-05-12,15:36:36
"GOVO GOBUDS 920 True Wireless Earbuds, 30H Battery, Fast Charge ,IPX5 & Dual pairing Bluetooth Headset  (Platinum Black, True Wireless)","₹2,699",4,"['180 Ratings &', '37 Reviews']",2023-05-12,15:36:37
"GOVO GOCRUSH 410 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 4 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,299",4.2,"['232 Ratings &', '43 Reviews']",2023-05-12,15:36:38
"GOVO GOCRUSH 421 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 5 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,299",3.7,"['271 Ratings &', '47 Reviews']",2023-05-12,15:36:40
"GOVO GOCRUSH 900 - Bluetooth Speaker, 3600mAh - 25H Battery, IPX7, ABS Fabric 16 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹2,999",4.1,"['249 Ratings &', '78 Reviews']",2023-05-12,15:36:41
"GOVO GOKIXX 400 Bluetooth Neckband, 9H Battery, 10mm Drivers, Magnetic buds, Type C Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",3.5,"['130 Ratings &', '29 Reviews']",2023-05-12,15:36:42
"GOVO GOKIXX 410 Bluetooth Neckband, 8H battery, 10mm Drivers, IPX5, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,299",3.9,"['127 Ratings &', '26 Reviews']",2023-05-12,15:36:43
"GOVO GOKIXX 421 Bluetooth Neckband, 10H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,299",3.9,"['139 Ratings &', '36 Reviews']",2023-05-12,15:36:45
"GOVO GOKIXX 610 Bluetooth Neckband, 12H Battery, Magnetic Buds,
 Lightweight Design Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.6,"['95 Ratings &', '28 Reviews']",2023-05-12,15:36:46
"GOVO GOKIXX 620 Bluetooth Neckband, 20H Battery, 10mm Drivers, Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.9,"['128 Ratings &', '33 Reviews']",2023-05-12,15:36:47
"GOVO GOKIXX 621 Bluetooth Neckband|22H Battery-Fast Charge,ENC & Smart Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",4.5,"['71 Ratings &', '41 Reviews']",2023-05-12,15:36:49
"GOVO GOKIXX 630 Bluetooth Neckband,10H Battery-Fast Charge,Dual Pairing,Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.8,"['133 Ratings &', '39 Reviews']",2023-05-12,15:36:50
"GOVO GOKIXX 651 Bluetooth Neckband, 12H Battery-Fast Charge, Metal Magnetic Buds Bluetooth Headset  (Graphite Gray, In the Ear)","₹1,599",3.9,"['208 Ratings &', '59 Reviews']",2023-05-12,15:36:51
"GOVO GOKIXX 900 Bluetooth Neckband,12H Battery,12mm Drivers, Premium Gun Metal Finish Bluetooth Headset  (Platinum Black, In the Ear)","₹1,598",3.7,"['107 Ratings &', '27 Reviews']",2023-05-12,15:36:52
"GOVO GOKIXX 952 Bluetooth Neckband, 106H Battery-Fast Charge, ENC, 10mm Drivers Bluetooth Headset  (Gun Metal Grey, In the Ear)","₹1,390",4.5,"['100 Ratings &', '39 Reviews']",2023-05-12,15:36:53
"GOVO GOSURROUND 410 Max 2.0 Channel Soundbar with HDMI|AUX|USB|OPT & LED Display 40 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,499",4.3,"['203 Ratings &', '65 Reviews']",2023-05-12,15:36:55
"GOVO GOSURROUND 430 | 80 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,999",4.3,"['203 Ratings &', '65 Reviews']",2023-05-12,15:36:56
"GOVO GOSURROUND 610 | 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹4,999",4.3,"['203 Ratings &', '65 Reviews']",2023-05-12,15:36:57
"GOVO GOSURROUND 620 Max 2.1 Channel Soundbar, 5.25"" Subwoofer & LED Display 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹16,999",4.7,[],2023-05-12,15:36:58
"GOVO GOSURROUND 900 | 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹6,599",4.3,"['203 Ratings &', '65 Reviews']",2023-05-12,15:37:00
"GOVO GOSURROUND 920 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹7,599",4.3,"['75 Ratings &', '23 Reviews']",2023-05-12,15:37:01
